id;question_id;question;a;b;c;d;correct;image;image_fallback;category_id
;11;11. Który parametr obiektu graficznego ulegnie zmianie po modyfikacji wartości kanału alfa?;Nasycenie barw;Przezroczystość;Ostrość krawędzi;Kolejność wyświetlenia pikseli;B;;;207
;12;12. Jakiego formatu należy użyć do zapisu obrazu z kompresją stratną?;GIF;PNG;PCX;JPEG;D;;;206
;13;13. Najprostszy sposób zamiany obiektu oznaczonego cyfrą 1 na obiekt oznaczony cyfrą 2 polega na;animowaniu obiektu;zmianie warstwy obiektu;narysowaniu docelowego obiektu;geometrycznym transformowaniu obiektu;D;images/13.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/13.jpg;207
;14;14. Jak nazywa się proces przedstawienia, we właściwej dla danego środowiska formie, informacji zawartej w dokumencie elektronicznym?;Mapowanie;Rasteryzacja;Renderowanie;Teksturowanie;C;;;201
;15;15. Proces filtracji sygnału wejściowego w dziedzinie czasu, obejmujący zasadę superpozycji, związany jest filtrem;liniowym;przyczynowym;niezmiennym w czasie;o skończonej odpowiedzi impulsowej;A;;;207
;16;16. Jak nazywa się podzbiór strukturalnego języka zapytań, związany z formułowaniem zapytań do bazy danych za pomocą polecenia SELECT?;SQL DML (ang. Data Manipulation Language);SQL DDL (ang. Data Definition Language);SQL DCL (ang. Data Control Language);SQL DQL (ang. Data Query Language);D;;;201
;17;17. Jakie sa nazwy typowych poleceń języka zapytań SQL, związane z wykonywaniem operacji na danych SQL DML (np.: umieszczanie danych w bazie, kasowanie dokonywanie zmian w danych)?;SELECT, SELECT INTO;ALTER, CREATE, DROP;DENY, GRANT, REVOKE;DELETE, INSERT, UPDATE;D;;;205
;18;18. Jak posortowana będzie lista, utworzona ze wszystkich kolumn tabeli uczniowie i zawierająca uczniów ze średnią większą od 5, która zostanie zwrócona jako wynik przedstawionego zapytania?;Rosnąca według parametru klasa;Malejąco według parametru klasa;Rosnaco według parametru srednia;Malejąco według parametru srednia;B;images/18.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/18.jpg;207
;19;19. Według którego parametru oraz dla ilu tabel zostaną zwrócone wiersze na liście w wyniku przedstawionego zapytania?;Według parametru wyrob_id wyłącznie dla trzech tabel;Według parametru wyrob_id dla wyłącznie dla trzech tabel;Według parametru nr_id wyłącznie dla trzech tabel;Według parametru nr_id dla wszystkich tabel;D;images/19.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/19.jpg;207
;20;20. Który z obiektów relacyjnej bazy danych, będący kodem języka SQL, może być wywoływany w zapytaniach modyfikujących kolumny danych widoczne jako tabela, bez względu na to czy jest tworzony programowo, czy dynamicznie?;Reguła;Wyzwalacz;Procedura składowa;Funkcja zdefiniowana;D;;;205
;21;21. Jak nazywa się element bazy danych, za pomocą którego można jedynie odczytać dane z bazy, prezentując je w postaci tekstu lub wykresu?;Tabela;Raport;Zapytanie;Formularz;B;;;207
;22;22. Jakiego typu specjalizowane oprogramowanie narzędziowe należy zainstalować, aby umożliwić wykonywanie jego użytkownikowi operacji na zgromadzonych danych?;Klucz obcy;System Zarządzania Bazą Danych (SZBD);Obiektowy System Zarządzania Bazą Danych;Otwarty mechanizm komunikacji bazy danych;B;;;207
;23;23. Co należy zastosować w organizacji danych, aby zapytania w bazie danych były wykonywane szybciej?;Reguły;Indeksy;Wartości domyślne;Klucze podstawowe;B;;;207
;24;24. W programie Microsoft Access formą zabezpieczeń dostępu do danych związaną z tabelą i kwerendą jest;stosowanie makr;przypisanie uprawnień;określanie przestrzeni tabel;wprowadzenie limitów przestrzeni dyskowej;B;;;201
;25;25. Które z wymienionych osób odpowiadają za przygotowanie systemu bazy danych do pracy produkcyjnej w sposób ciągły, zarządzanie użytkownikami i instalowanie nowych wersji systemu bazodanowego?;Projektanci narzędzi deweloperskich;Administratorzy systemu bazy danych;Administratorzy serwerów i sieci komputerowych;Projektanci i programiści Systemu Zarządzania Bazą Danych.;B;;;207
;26;26. Z jakimi mechanizmami nadawania zabezpieczeń, dającymi możliwości wykonywania operacji na bazie danych, związane są zagadnienia zarządzania kontami, użytkownikami i uprawnieniami?;Z regułami;Z atrybutami;Z przywilejami obiektowymi;Z przywilejami systemowymi;D;;;207
;27;27. Metoda udostępniania bazy danych w programie Microsoft Access, dotycząca wszystkich obiektów bazy umieszczonych na dysku sieciowym i używanych jednocześnie przez różne osoby nosi nazwę;folderu sieciowego;serwera bazy danych;dzielonej bazy danych;witryny programu SharePoint;A;;;207
;28;28. Jakie należy posiadać uprawnienia, aby wykonać i odtworzyć kopię zapasową bazy danych Microsoft SQL Server 2005 Express?;Users;Security users;Użytkownik lokalny;Administrator systemu;D;;;205
;29;29. Typ zmiennej w języku JavaScript;nie występuje;jest tylko jeden;następuje poprzez przypisanie wartości;musi być zadeklarowany na początku skryptu;C;;;203
;30;30. Zmienne typu int odnoszą się do liczb;naturalnych;całkowitych;w notacji stałoprzecinkowej;w notacji zmiennoprzecinkowej;B;;;207
;31;31. Co definiuje w języku C++ przedstawiony fragment kodu?;Hierarchię zmiennych;Trzy zmienne niepowiązane ze sobą;Typ strukturalny składający się z trzech pól;Kontakt pomiędzy zmiennymi globalnymi i lokalnymi;C;images/31.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/31.jpg;207
;32;32. Sposób programowania, w którym ciąg poleceń (sekwencji instrukcji) przekazywanych komputerowi jest postrzegany jako program, nosi nazwę programowania;stanowego;logicznego;funkcyjnego;imperatywnego;D;;;207
;33;33. Które wartości będą kolejno wypisane w wyniku działania przedstawionego skryptu;2 2 1;2 1 1;1 2 1;1 2 2;A;images/33.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/33.jpg;203
;34;34. Fragment kodu prezentuje składnię języka;C;C#;PHP;JavaScript;C;images/34.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/34.jpg;207
;35;35. Jaki program komputerowy przekształca kod źródłowy, napisany w konkretnym języku programowania, na język komputera?;Debugger;Kompilator;Edytor kodu źródłowego;Środowisko programistyczne;B;;;207
;36;36. Jak nazywa się program, który wykonuje instrukcje zawarte w kodzie źródłowym tworzonego programu bez uprzedniego generowania programu wynikowego?;Interpreter;Kompilator;Konwerter kodu;Konwerter języka;A;;;207
;37;37. Który język skryptowy ogólnego przeznaczenia należy wykorzystać do tworzenia aplikacji WWW, zagnieżdżanych w języku HTML i uruchamianych po stronie serwera?;C#;Perl;PHP;JavaScript;C;;;201
;38;38. Jak nazywa się technika umożliwiająca otwarcie połączenia klienta z serwerem i komunikację bez przeładowywania całej strony WWW w sposób asynchroniczny ?;PHP;XML;AJAX;VBScript;C;;;207
;39;39. Jak nazywa się element oznaczony znakiem zapytania w strukturze platformy .NET, który umożliwia tworzenie własnych aplikacji z użyciem frameworków i zamianę kompilowanego kodu pośredniego na kod maszynowy procesora zainstalowanego w komputerze?;Infrastruktura językowa (CLI);Biblioteka klas bazowych (BCL);Wspólne środowisko programistyczne (CLP);Wspólne środowisko uruchomieniowe (CLR);D;images/39.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/39.jpg;201
;40;40. Jakiego rodzaju mechanizm kontroli bezpieczeństwa wykonywania aplikacji zawiera środowisko uruchomieniowe platformy .NET Framework?;Mechanizm wykonywania aplikacji dla bibliotek klas;Mechanizm wykonywania aplikacji realizowany przez frameworki aplikacji internetowych (ASP.NET);Mechanizm wykonywania aplikacji realizowany przez funkcję Windows API (Application Programming Interface);Mechanizm wykonywania aplikacji oparty na uprawnieniach kodu (CAS - Code Access Security) i na rolach (RBS - Role-Based Security);D;;;201
;41;41. Co to jest DBMS?;Strukturalny język zapytań kierowanych do bazy danych;System zarządzania bazą danych;Obiektowy język programowania do generowania stron www;Kaskadowy arkusz stylów do opisu wyglądu strony www;B;;;207
;42;42. Który z odsyłaczy posiada poprawną konstrukcję?;<a href='mailto:adres'> tekst </a>;<a href='http://adres'> tekst </a>;"<a href=""http://adres""> tekst <a>";"<a href=""mailto:adres""> tekst </a>";D;;;207
;43;43. Fragment kodu napisany w języku HTML zamieszczony w ramce przedstawia listę;wypunktowaną;numerowaną;odnośników;skrótów;B;images/43.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/43.jpg;201
;44;44. Polecenie colspan służy do łączenia komórek tabeli w poziomie, natomiast rowspan w pionie. Którą z tabel wyświetli fragment kodu napisany w języku HTML?;A;B;C;D;B;images/44.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/44.jpg;201
;45;45. W znaczniku <head> (w części <meta>) strony www NIE umieszcza się informacji dotyczącej;autora;kodowania;typu dokumentu;automatycznego odświeżania;C;;;201
;46;46. Wskaż sposób, w jaki należy odwołać się do pliku default.css, jeśli index.html znajduje się bezpośrednio w katalogu Strona?;"<link rel=""stylesheet"" type=""text/css"" href=""./style/default.css"" />";"<link rel=""stylesheet"" type=""text/css"" href=""C:/style/default.css"" />";"<link rel=""stylesheet"" type=""text/css"" href=""...styledefault.css"" />";"<link rel=""stylesheet"" type=""text/css"" href=""c:style/default.css"" />";A;images/46.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/46.jpg;201
;47;47. Wskaż stwierdzenie, które jest prawdziwe dla następującej definicji stylu:;Jest to styl lokalny;Zdefiniowano dwie klasy;Akapit będzie transponowany na małe litery;Odnośnik będzie pisany czcionką 14 punktów;B;images/47.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/47.jpg;207
;48;48. W palecie kolorów RGB kolor żółty jest połączeniem dwóch kolorów: zielonego i czerwonego. Który z kodów szesnastkowych oznacza kolor żółty?;#FF00FF;#00FFFF;#FFFF00;#F0F0F0;C;;;202
;49;49. Który z formatów NIE pozwala na zapis plików animowanych?;GIF;ACE;SWF;SVG;B;;;201
;50;50. Który z formatów graficznych pozwala na zapis przejrzystego tła?;GIF;RAW;BMP;JPEG;A;;;201
;51;51. Proces walidacji strony internetowej to;zespół działań mających na celu zwiększenie oglądalności;sprawdzenie jej w celu wyeliminowania błędów;publikowanie w sieci;promocja strony;B;;;202
;52;52. Które oprogramowanie NIE JEST systemem zarządzania treścią (CMS)?;Joomla;Apache;Mambo;WordPress;B;;;207
;53;53. Który z formatów zapewnia największa redukcję rozmiaru pliku dźwiękowego?;WAV;PCM;MP3;CD-Audio;C;;;206
;54;54. Wskaż prawidłową kolejność tworzenia bazy danych;Określenie celu, utworzenie relacji, stworzenie tabel, normalizacja;Określenie celu, normalizacja, utworzenie relacji, stworzenie tabel;Określenie celu, stworzenie tabel, utworzenie relacji, normalizacja;Określenie celu, normalizacja, stworzenie tabel, utworzenie relacji;C;;;202
;55;55. Wskaż typ relacji pomiędzy tabelami: Tabela1 i Tabela3;Jeden do jednego;Wiele do jednego;Jeden do wielu;Wiele do wielu;D;images/55.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/55.jpg;205
;56;56. Które z pól są umieszczone w formularzu?;Textarea, Option, Input(Chechbox), Input(Checkbox), Input(Submit) Input(Reset);Input(Text), Select, Input(Radio), Input(Radio), Input(Submit), Input(Reset);Textarea, Select, Input(Radio), Input(Radio), Input(Reset), Input(Submit);Input(Text), Input(Chechbox), Select, Select, Input(Submit), Input(Reset);B;images/56.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/56.jpg;201
;57;57. Którą z właściwości pola tabeli należy zdefiniować, aby pole przyjmowało dane składające się wyłącznie z cyfr?;Tagi inteligentne;Wartość domyślną;Maskę wprowadzania;Regułę sprawdzania poprawności;C;images/57.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/57.jpg;207
;58;58. Którego ze słów kluczowych języka SQL należy użyć, aby wyeliminować duplikaty?;LIKE;DISTINCT;ORDER BY;GROUP BY;B;;;205
;59;"59. Które ze stwierdzeń prawidłowo charakteryzuje zdefiniowaną tabelę: CREATE TABLE dane (kolumna INTEGER(3));";Tabela o nazwie posiada trzy kolumny liczb całkowitych;Tabela o nazwie posiada jedną kolumnę liczb całkowitych;Tabela posiada jedną kolumnę zawierającą trzy elementowe tablice;Kolumny tabeli nazywają się: , ,;B;;;201
;60;60. Polecenie REVOKE SELECT ON nazwa1 FROM nazwa2 w języku SQL umożliwia;nadanie uprawnień z użyciem zdefiniowanego schematu;odbieranie uprawnień użytkownikowi;usuwanie użytkownika z bazy;nadawanie praw do tabeli;B;;;205
;61;61. Które polecenie wydane z konsoli systemu operacyjnego, zawierające w swojej składni opcję --repair, umożliwia naprawę bazy danych?;mysqlcheck;mysqldump;truncate;create;A;;;207
;62;62. Które polecenie wydane z konsoli systemowej dokona przywrócenia bazy danych?;mysqldump -u root -p baza > kopia.sql;mysqldump -u root -p baza < kopia.sql;mysql -u root -p baza < kopia.sql;mysql -u root -p baza > kopia.sql;C;;;207
;63;63. Polecenie w języku SQL GRANT ALL PRIVILEGES ON klienci TO pracownik;nadaje uprawnienie grupie do tabeli;odbiera wszystkie uprawnienia do tabeli;skopiuje uprawnienia z grupy na użytkownika;nadaje wszystkie uprawnienia do tabeli użytkownikowi;D;;;205
;64;64. Która z wymienionych funkcji sortowania wykorzystywana w języku PHP sortuje tablicę asocjacyjną według indeksów;sort();rsort();asort();ksort();D;;;204
;65;65. W skrypcie PHP należy utworzyć cookie o nazwie owoce które przyjmie wartość jabłko. Cookie ma być dostępne przez jedną godzinę od jego utworzenia. W tym celu należy w skrypcie PHP użyć funkcji:;"cookie(""owoce"",""jabłko"",3600);";"cookie(""jabłko"",""owoce"",3600);";"setcookie(""owoce"",""jabłko"",time()+3600);";"setcookie(""jabłko"",""owoce"",time()+3600);";C;;;204
;66;66. Wskaż słowo kluczowe w języku C++ dodawane przed wbudowanym typem danych, które przesuwa zakres liczby wyłącznie nieujemne;long;const;short;unsigned;D;;;205
;67;67. W językach programowania tylko zmienna jednego typu wbudowanego może przyjmować wyłącznie dwie wartości. Jest to typ;logiczny;znakowy;tablicowy;łańcuchowy;A;;;203
;68;68. Instrukcja języka PHP tworząca obiekt pkt dla zdefiniowanej w ramce klasy ma postać;"pkt Punkt;";"pkt = new Punkt();";"pkt Punkt();";"Punkt() pkt;";B;images/68.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/68.jpg;204
;69;69. Wskaż wynik wykonania skryptu napisanego w języku PHP;A;B;C;D;A;images/69.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/69.jpg;203
;70;70. Które ze stwierdzeń dotyczących języków programowania NIE jest prawdziwe;C++ jest językiem obiektowym;JavaScript jest językiem skryptowym;SQL jest językiem programowania strukturalnego;PHP jest językiem do tworzenia stron w czasie rzeczywistym;C;;;207
;71;71. Jaka wartość zostanie wypisana na standardowym wyjściu dla zamieszczonego w ramce fragmentu programu napisanego w języku C++;0;2;3;32;C;images/71.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/71.jpg;207
;72;72. Wskaż stwierdzenie, które nie jest prawdziwe dla następującej definicji funkcji w języku C++?;Funkcja zwraca wartość;Funkcja nie zwraca wartości;Funkcja posiada dwa parametry;Funkcja odwołuje się do parametrów przez referencję;A;images/72.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/72.jpg;207
;73;"73. Element zadeklarowany w języku C++ double *x; to";Parametr formalny typu rzeczywistego;Zmienna rzeczywista;Zmienna całkowita;Wskaźnik;D;;;207
;74;74. Wskaż prawidłową kolejność tworzenia aplikacji;Specyfikacja wymagań, analiza wymagań klienta, tworzenie, wdrażanie,testy;Analiza wymagań klienta, specyfikacja wymagań tworzenie, testy, wdrażanie;Tworzenie, analiza wymagań klienta, specyfikacja wymagań, wdrażanie, testy;Analiza wymagań klienta, specyfikacja wymagań, tworzenie, wdrażanie, testy;B;;;202
;75;75. Jaką wartość zwróci funkcja zao zdefiniowana w języku C++, wywołana z aktualnym parametrem 3.55;3;4;3.5;4.05;B;images/75.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/75.jpg;203
;76;76. Proces tłumaczenia kodu źródłowego pisanego przez programistę na zrozumiały dla komputera kod maszynowy to;debugowanie;uruchamianie;kompilowanie;implementowanie;C;;;207
;77;77. Które ze stwierdzeń, w odniesieniu do zamieszczonej w ramce definicji funkcji, jest poprawne?;Pętla wykona się tylko raz;Funkcja posiada pętlę powtarzającą się 3 razy;Tekst będzie wczytywany do momentu podania liczby większej niż 3;Wczytanie tekstu zakończy się, gdy tekst będzie się składał przynajmniej z 3 znaków;D;images/77.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/77.jpg;207
;78;78. Po wykonaniu zamieszczonego w ramce skryptu napisanego w języku JavaScript w przeglądarce zostanie wypisana wartość;12,4;12,5;15,4;15,5;B;images/78.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/78.jpg;203
;79;"79. Poprzez deklarację var x=""true""; w języku JavieScript tworzy się zmienną typu";Logicznego;Liczbowego;String (ciąg znaków);Nieokreślonego (undefined);C;;;207
;80;80. Platforma wspierająca programowanie w technologii .NET to;db2;eclipse;framework;middleware;C;;;201
;81;81. Proces, w którym wykrywa się i usuwa błędy w kodzie źródłowym programów, to;Kompilowanie;Debugowanie;standaryzacja;Normalizacja;B;;;207
;82;82. Aby ustawić tło na stronie www należy użyć polecenia;"<background=""""> </background>";"<body bgcolor=""""> </body>";"<bgcolor=""""> </bgcolor>";"<body background=""""> </body>";B;;;202
;83;83. Parametr face znacznika <font> służy do określenia;barwy czcionki;nazwy czcionki;efektów czcionki;wielkości czcionki;B;;;201
;84;84. Kodowanie w standardzie ISO-8859-2 stosowane jest w celu poprawnego wyświetlenia;symboli matematycznych;polskich liter, takich jak: ś, ć, ń, ó, ą;znaków specjalnych dla języka kodu strony;znaków zarezerwowanych dla języka opisu strony;B;;;207
;85;85. Zamieszczony w ramce kod wyświetla tabelę składajacą się z;dwóch wierszy i dwóch kolumn;dwóch wierszy i jednej kolumny;jednego wiersza i dwóch kolumn;jednego wiersza i jednej kolumny;C;images/85.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/85.jpg;207
;86;86. W języku JavaScript, aby wydzielić fragment napisu znajdujący się pomiędzy wskazanymi przez parametr indeksami należy użyć metody;slice();replace();trim();concat();A;;;203
;87;87. Które polecenie w CSS służy do załączenia zewnętrznego arkusza stylów?;open;import;require;include;B;;;202
;88;88. Selektor CSS a:link {color:red} zawarty w kaskadowych arkuszach stylów definiuje;klasę;pseudoklasę;identyfikator;pseudoelement;B;;;202
;89;89. Jak nazywa się edytor wspomagający tworzenie stron internetowych, którego sposób działania można w polskim tłumaczeniu określić jako: otrzymujesz to, co widzisz?;IDE;WYSIWYG;WEB STUDIO;VISUAL EDITOR;B;;;202
;90;90. Kolor 255 12 12 w modelu RGB na stronie www powinien być zapisany w postaci;#2551212;#EE0C0C;#AB1A1D;#FF0C0C;D;;;202
;91;91. CMYK to zestaw czterech podstawowych kolorów farb drukarskich:;turkusowego, błękitnego, białego, różowego;turkusowego, purpurowego, białego, czarnego;czerwonego, purpurowego, żółtego, szarego;turkusowego, purpurowego, żółtego, czarnego;D;;;202
;92;92. Cechą formatu PNG jest;obsługa animacji;bezstratna kompresja;brak obsługi kanału alfa;reprezentacja grafiki wektorowej;B;;;201
;93;93. Saturacja koloru nazywana jest inaczej;jasnością koloru;nasyceniem koloru;dopełnieniem koloru;przezroczystością koloru;B;;;202
;94;94. Kanał alfa służy do zdefiniowania;jasności i kontrastu kolorów;przezroczystość obiektu graficznego;zaznaczonego fragmentu obiektu graficznego;podstawowych parametrów obiektu graficznego;B;;;207
;95;95. Częstotliwość próbkowania ma wpływ na;jakość cyfrowego dzwięku;jakość analogowego dzwięku;amplitudę fali dźwiękowej utworu;skalę głośności zapisanego utworu;A;;;207
;96;96. Wysokość dźwięku zależy od;siły wzbudzenia drgania;sposobu pobudzania drgania;czasu drgania źródła dzwięku;częstotliwości drgania fali akustycznej;D;;;206
;97;97. Typ stało-znakowy w języku SQL to;char;text;time;bool;A;;;205
;98;98. Operator arytmetyczny modulo w języku SQL to;/;||;&;%;D;;;205
;99;99. Polecenie w języku SQL ALTER TABLE USA... ma za zadanie;usunięcie tabeli USA;modyfikację tabeli USA;nadpisanie starej tabeli USA;utworzenie nowej tabeli USA;B;;;201
;100;100. Kod: SELECT imie, pesel, wiek FROM dane WHERE wiek IN (18,30) spowoduje wybranie:;imion, nazwisk i numerów PESEL osób w wieku poniżej 18 lat;imion, numerów PESEL i wieku osób z przedziału od 18 do 30 lat;imion, numerów PESEL i wieku osób posiadających powyżej 30 lat;imion, numerów PESEL i wieku osób w wieku równym 18 lub 30 lat;D;;;205
;101;101. Aby policzyć wszystkie wiersze tabeli Koty należy użyć polecenia:;SELECT COUNT(*) FROM Koty;SELECT ROWNUM() FROM Koty;SELECT COUNT(Koty) AS ROWNUM;SELECT COUNT(ROWNUM) FROM Koty;A;;;207
;102;102. Aby podczas tworzenia tabeli utworzyć klucz obcy na wielu kolumnach, należy użyć polecenia;CONSTRAINT(nazwisko,imie) FOREIGN KEY REFERENCES osoby (nazwisko, imie);CONSTRAINT(nazwisko,imie) FOREIGN REFERENCES KEY osoby (nazwisko, imie);CONSTRAINT fk_osoba_uczen FOREIGN KEY (nazwisko, imie) REFERENCES osoby (nazwisko,imie);CONSTRAINT fk_osoba_uczen FOREIGN KEY ON (nazwisko, imie) REFERENCES osoby (nazwisko,imie);C;;;205
;103;103. W algebrze relacji operacja selekcji polega na;wyelminowaniu pustych wierszy;wybraniu krotek spełniających określone warunki;wybraniu krotek niezawierających wartości NULL;wyelminowaniu krotek z powtarzającymi się polami;B;;;207
;104;104. Relacja w bazach danych jest;logicznym połączeniem tabel;kluczem głównym w relacji tabel;algebraicznym połączeniem tabel;połączeniem dwóch pól jednej tabeli;A;;;205
;105;105. Wskaż poprawną kolejność etapów projektowania relacyjnej bazy danych;Selekcja, Określenie relacji, Określenie kluczy podstawowych tabel, Określenie zbioru danych;Określenie relacji, Określenie kluczy podstawowych tabel, Selekcja, Określenie zbioru danych;Określenie kluczy podstawowych tabel, Określenie zbioru danych, Selekcja, Określenie relacji;Określenie zbioru danych, Selekcja, Określenie kluczy podstawowych tabel, Określenie relacji;D;;;207
;106;106. Formularze do obsługi baz danych tworzy się w celu;raportowania danych;wyszukiwania wierszy spełniających dane kryteria;wprowadzenia powiązań w relacyjnych bazach danych;wygodniejszego wprowadzania, edytowania i usuwania danych;D;;;201
;107;107. Integralność referencyjna w modelu relacyjnych baz danych oznacza, że;wartość klucza głównego oraz klucza obcego nie jest pusta;klucz główny lub klucz obcy nie zawierają wartości NULL;każdemu kluczowi głównemu odpowiada dokładnie jeden klucz obcy w tabeli lub tabelach powiązanych;wartość klucza obcego w danej tabeli musi być albo równa wartości klucza głównego w tabeli z nia powiązanej albo równa wartości NULL;D;;;207
;108;"108. Deklaracja w języku JavaScript: var x=true; powoduje, że zmienna x jest typu";logicznego;liczbowego;ciąg znaków;wyliczeniowego;A;;;203
;109;109. Obiekt typu array w języku Javascript służy do przechowywania;wielu wartości lub funkcji;wielu wartości dowolnego typu;wielu wartości wyłącznie liczbowych;wielu wartości wyłącznie tekstowych;B;;;203
;110;110. Ukrywanie pewnych pól lub metod obiektów danej klasy tak, aby były one dostępne tylko metodom wewnętrznym tej klasy lub funkcjom zaprzyjaźnionym, to;polimorfizm;hermetyzacja;konkatenacja;dziedziczenie;B;;;203
;111;111. Odwoływanie funkcji do samej siebie to;iteracja;rekurencja;hermetyzacja;dziedziczenie;B;;;207
;112;112. W języku PHP zmienna $_GET jest zmienną;predefiniowaną, używaną do przekazywania danych do skryptów PHP poprzez adres strony;predefiniowaną, używaną do gromadzenia wartości formularza po nagłówkach zlecenia HTTP (danych z formularza nie można zobaczyć w adresie);zdefiniowaną przez twórcę strony, służącą do przekazywania danych z formularza przez adres strony;zwykłą, zdefiniowaną przez twórcę strony;A;;;204
;113;113. W języku PHP w instrukcji switch musi występować;instrukcja default;konstrukcja switch(wyrażenie);przynajmniej dwie instrukcje case;instrukcja break po każdej instrukcji case;B;;;204
;114;114. Konstruktor w języku PHP jest metodą o nazwie;_new;_open;_create;_construct;D;;;204
;115;115. Debugger to program służący do;badania właściwości programu;sprawdzania szybkości programu;wyszukiwania błędów w kodzie programu;zoptymalizowanie pamięci używanej przez aplikację;C;;;207
;116;116. Kod zamieszczony w ramce spowoduje wypisanie liczb;2 4 6 8;1 3 5 7 9;2 4 6 8 10;1 2 3 4 5 6 7 8 9 10;C;images/116.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/116.jpg;207
;117;117. Który kod jest alternatywny do kodu zamieszczonego w ramce?;A;B;C;D;A;images/117.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/117.jpg;207
;118;118. Zamieszczony w ramce fragment skryptu w języku JavaScript;przypisze zmienniej s zmienną t;wyświetli długość napisu ze zmiennej t;przypisze zmiennej s długość napisu ze zmiennej t;przypisze zmiennej s fragment napisu ze zmiennej t, o określonej przez zmienną length długości;C;images/118.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/118.jpg;203
;119;119. Zamieszczony w ramce fragment kodu w JavaScript wypisze;"""ze""";"""wo""";"""owodzeni""";"""wodzenia""";A;images/119.jpg;https://www.praktycznyegzamin.pl/inf03ee09e14/teoria/wszystko/e14/119.jpg;203
