id;question_id;question;a;b;c;d;correct;image;image_fallback;category_name
;28;28. Po sprawdzeniu komputera programem diagnostycznym wykryto, że temperatura pracy karty graficznej posiadającej wyjścia HDMI i D-SUB, osadzonej w gnieździe PCI Express komputera stacjonarnego, wynosi 87°C. W takim przypadku serwisant powinien;zamienić kabel sygnałowy D-SUB na HDMI.;sprawdzić, czy wentylator jest sprawny i czy nie jest zakurzony.;zainstalować dodatkowy moduł pamięci RAM, aby odciążyć kartę.;wymienić dysk twardy na nowy, o podobnej wielkości i prędkości obrotowej.;B;;;inf_02
;29;29. SuperPi to program wykorzystywany do sprawdzenia;wydajności dysków twardych.;obciążenia i wydajności kart graficznych.;ilości niewykorzystanej pamięci operacyjnej RAM.;wydajności procesorów o zwiększonej częstotliwości.;D;;;inf_02
;30;30. Odzyskanie listy kontaktów w telefonie komórkowym z zainstalowanym systemem Android jest możliwe, gdy użytkownik wcześniej wykonał synchronizację danych urządzenia z Google Drive za pomocą;konta Yahoo;konta Google;konta Microsoft;dowolnego konta pocztowego z portalu Onet;B;;;inf_02
;31;31. Aby wyeliminować podstawowe zagrożenia związane z bezpieczeństwem pracy na komputerze podłączonym do sieci Internet, w pierwszej kolejności należy;odsunąć komputer od źródła ciepła, nie przygniatać przewodów zasilających komputera i urządzeń peryferyjnych.;zainstalować program antywirusowy, zaktualizować bazy wirusów, włączyć firewall i wykonać aktualizację systemu.;wyczyścić wnętrze jednostki centralnej, nie jeść i nie pić przy komputerze oraz nie podawać swojego hasła innym użytkownikom;sprawdzić temperaturę podzespołów, podłączyć komputer do zasilacza UPS oraz nie wchodzić na podejrzane strony internetowe.;B;;;inf_02
;32;32. Serwisant wykonał w ramach zlecenia czynności wymienione w tabeli. Koszt zlecenia obejmuje cenę usług zawartych w tabeli oraz koszt pracy serwisanta, którego stawka godzinowa wynosi 60,00 zł netto. Ustal całkowity koszt zlecenia brutto. Stawka podatku VAT na usługi wynosi 23%.;492,00 zł;455,20 zł;436,80 zł;400,00 zł;A;images/32.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/32.jpg;inf_02
;33;33. Aby w systemie Windows zmienić parametry konfiguracyjne Menu Start i paska zadań należy wykorzystać przystawkę;dcpol.msc;azman.msc;gpedit.msc;fsmgmt.msc;C;;;inf_02
;34;34. Konfigurację interfejsu sieciowego w systemie Linux można wykonać, edytując plik;/ etc / hosts;/ etc / host.conf;/ etc / resolv.conf;/ etc / network / interfaces;D;;;inf_02
;35;35. W systemie Linux polecenie touch służy do;utworzenia pliku lub zmiany daty modyfikacji lub daty ostatniego dostępu.;obliczenia liczby wierszy, słów i znaków w pliku.;wyszukania podanego wzorca w tekście pliku.;przeniesienia lub zmiany nazwy pliku.;A;;;inf_02
;36;36. Aby w systemie Windows Server wykonać rezerwację adresów IP na podstawie adresów fizycznych MAC urządzeń, należy skonfigurować usługę;DNS;NAT;RRAS;DHCP;D;;;inf_02
;37;37. Po wydaniu przedstawionego polecenia systemu Windows, wartość 11 zostanie ustawiona dla;maksymalnej liczby dni ważności konta.;minimalnej liczby znaków w hasłach użytkowników.;maksymalnej liczby dni między zmianami haseł użytkowników.;minimalnej liczby minut, przez które użytkownik może być zalogowany.;B;images/37.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/37.jpg;inf_02
;38;38. Protokół RDP jest wykorzystywany w usłudze;SCP w systemie Windows.;terminalowej w systemie Linux.;pulpitu zdalnego w systemie Windows.;poczty elektronicznej w systemie Linux;C;;;inf_02
;39;39. Narzędziem systemu Windows służącym do sprawdzenia prób logowania do systemu jest dziennik;Setup;System;aplikacji;zabezpieczeń;D;;;inf_02
;40;40. Program fsck jest wykorzystywany w systemie Linux do;wykrycia struktury sieci i diagnostyki przepustowości sieci lokalnej.;monitorowania parametrów pracy i wydajności podzespołów komputera.;dokonania oceny stanu systemu plików i wykrycia uszkodzonych sektorów.;przeprowadzenia testów wydajnościowych serwera WWW poprzez wysłanie dużej liczby żądań.;C;;;inf_02
;41;41. Który zapis w systemie binarnym odpowiada liczbie 91 zapisanej w systemie szesnastkowym?;10010001;10001001;10001011;10011001;A;;;inf_02
;42;42. Którą bramkę logiczną opisuje wyrażenie;A;B;C;D;B;images/42.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/42.jpg;inf_02
;43;43. Na rysunku przedstawiona jest karta;kontrolera RAID;kontrolera SCSII;sieciowa Token Ring;sieciowa Fibre Channel;D;images/43.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/43.jpg;inf_02
;44;44. Na rysunku przedstawiono schemat blokowy karty;sieciowej.;graficznej.;dźwiękowej.;telewizyjnej.;D;images/44.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/44.jpg;inf_02
;45;45. Na rysunku przedstawiono fragment dokumentacji technicznej płyty głównej GA-K8NF-9-RH rev. 2.x. Wynika z niej, że maksymalna liczba możliwych do zamontowania kart rozszerzeń (pomijając interfejs USB) wynosi;6;5;3;2;A;images/45.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/45.jpg;inf_02
;46;46. Na rysunku przedstawiono tylny panel stacji roboczej. Strzałką oznaczono port;HDMI;eSATA;USB 3.0;DisplayPort;D;images/46.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/46.jpg;inf_02
;47;47. Na rysunku przedstawiono komunikat systemowy. Jakie działanie powinien wykonać użytkownik, aby usunąć błąd?;Podłączyć monitor do złącza HDMI.;Odświeżyć okno Menedżer urządzeń.;Zainstalować sterownik do karty graficznej.;Zainstalować sterownik do Karty HD Graphics.;C;images/47.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/47.jpg;inf_02
;48;48. Shareware to rodzaj licencji polegającej na;używaniu programu bezpłatnie, bez żadnych ograniczeń.;bezpłatnym rozprowadzaniu aplikacji bez ujawniania kodu źródłowego.;bezpłatnym rozpowszechnianiu programu na czas testów przed zakupem.;korzystaniu z programu przez określony czas, po którym program przestaje działać.;C;;;inf_02
;49;49. Ataki na systemy komputerowe polegające na podstępnym wyłudzaniu od użytkownika jego osobistych danych, przy wykorzystaniu zazwyczaj formy fałszywych powiadomień z instytucji czy od dostawców systemów e-płatności i innych ogólnie znanych organizacji, to;DDoS;phishing;brute force;SYN flooding;B;;;inf_02
;50;50. Który z symboli oznacza zastrzeżenie praw autorskich?;A;B;C;D;A;images/50.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/50.jpg;inf_02
;51;51. Który typ fizycznej topologii sieci komputerowej przedstawiono na rysunku?;Siatki.;Gwiazdy.;Magistrali.;Podwójnego pierścienia.;A;images/51.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/51.jpg;inf_02
;52;52. Ile domen kolizyjnych i rozgłoszeniowych jest widocznych na schemacie?;9 domen kolizyjnych i 1 domena rozgłoszeniowa;9 domen kolizyjnych i 4 domeny rozgłoszeniowe.;1 domena kolizyjna i 9 domen rozgłoszeniowych.;4 domeny kolizyjne i 9 domen rozgłoszeniowych.;B;images/52.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/52.jpg;inf_02
;53;53. Zasady budowy systemu okablowania strukturalnego, specyfikacja parametrów kabli oraz procedury testowania obowiązujące w Polsce zostały zawarte w normach;EN 50167;EN 50169;PN-EN 50173;PN-EN 50310;C;;;inf_02
;54;54. Który adres IPv6 jest prawidłowy?;1234:9ABC::123::DEF4;1234:9ABC::123:DEF4;1234-9ABC-123-DEF4;1234.9ABC.123.DEF4;B;;;inf_02
;55;55. Który z protokołów w systemach operacyjnych Linux wykorzystywany jest w sieciach LAN?;IP;IPX;NetBEUI;AppleTalk;A;;;inf_02
;56;56. Przedstawione na rysunku urządzenie;służy do przechwytywania i nagrywania pakietów danych w sieciach komputerowych.;odpowiada za przekazywanie ramki między segmentami sieci z doborem portu, na który jest przekazywana.;umożliwia zamianę sygnału pochodzącego z okablowania miedzianego na okablowanie światłowodowe.;odpowiada za wytworzenie na wyjściu sygnału analogowego, będącego wzmocnionym sygnałem wejściowym, kosztem zużycia energii pobieranej ze źródła prądu.;C;images/56.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/56.jpg;inf_02
;57;57. Które urządzenie zastosowane w sieci komputerowej nie zmienia liczby domen kolizyjnych?;Ruter.;Serwer.;Przełącznik.;Koncetrator.;B;;;inf_02
;58;58. Na rysunku przedstawiono zakończenie kabla;typu skrętka.;telefonicznego.;koncentrycznego.;światłowodowego.;D;images/58.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/58.jpg;inf_02
;59;59. Przedstawione na rysunku urządzenie wraz ze specyfikacją techniczną można wykorzystać do pomiarów okablowania;telefonicznego.;skrętki cat. 5e / 6.;koncentrycznego.;światłowodowego.;D;images/59.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/59.jpg;inf_02
;60;60. Który tryb pracy Access Pointa jest stosowany dla zapewnienia urządzeniom bezprzewodowym dostępu do przewodowej sieci LAN?;Most bezprzewodowy.;Punkt dostępowy.;Tryb klienta.;Repeater.;B;;;inf_02
;61;61. Jeżeli adres IP stacji roboczej ma postać 176.16.50.10/26 to adres rozgłoszeniowy oraz maksymalna liczba hostów w sieci wynoszą odpowiednio;"176.16.50.1; 26 hostów.";"176.16.50.36; 6 hostów.";"176.16.50.63; 62 hosty.";"176.16.50.62; 63 hosty.";C;;;inf_02
;62;62. Sieć, w której pracuje stacja robocza o adresie IP 192.168.100.50/28, podzielono na 4 podsieci. Prawidłowa lista podsieci to;"192.168.100.48/30; 192.168.100.52/30; 192.168.100.56/30; 192.168.100.60/30";"192.168.100.48/29; 192.168.100.54/29; 192.168.100.56/29; 192.168.100.58/29";"192.168.100.50/28; 192.168.100.52/28; 192.168.100.56/28; 192.168.100.60/28";"192.168.100.48/27; 192.168.100.52/27; 192.168.100.56/27; 192.168.100.58/27";A;;;inf_02
;63;63. Na rysunku przedstawiono wynik testu okablowania. Zinterpretuj wynik pomiaru.;Błąd zwarcia.;Błąd rozwarcia.;Odwrócenie pary.;Rozdzielenie pary.;A;images/63.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/63.jpg;inf_02
;64;64. Na rysunku przedstawiono fragment wyniku działania programu do testowania sieci. Wskazuje to na zastosowanie sieciowego polecenia testującego;arp;route;tracert;netstat;D;images/64.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/64.jpg;inf_02
;65;65. Które z protokołów przekazują okresowe kopie tablic rutingu do sąsiedniego rutera i nie mają pełnej informacji o odległych ruterach?;RIP, IGRP;EGP, BGP;OSPF, RIP;EIGPR, OSPF;D;;;inf_02
;66;66. Rozdzielczość optyczna to jeden z parametrów;skanera.;drukarki.;modemu.;monitora.;A;;;inf_02
;67;67. Na rysunku przedstawiono interfejs w komputerze przeznaczony do podłączenia;monitora LCD.;plotera tnącego.;drukarki laserowej.;skanera lustrzanego.;A;images/67.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/67.jpg;inf_02
;68;68. Które oprogramowanie należy zainstalować, aby umożliwić zeskanowanie tekstu z wydrukowanego dokumentu do edytora tekstu?;Program ERP;Program CAD;Program OCR;Program COM +;C;;;inf_02
;69;69. Użytkownicy z grupy Pracownicy nie mogą drukować dokumentów przy użyciu serwera wydruku na systemie operacyjnym Windows Server. Mają oni przydzielone uprawnienia tylko „Zarządzanie dokumentami”. Co należy zrobić, aby rozwiązać opisany problem?;Dla grupy Pracownicy należy nadać uprawnienia „Drukuj”;Dla grupy Administratorzy należy usunąć uprawnienia „Drukuj”;Dla grupy Pracownicy należy usunąć uprawnienia „Zarządzanie dokumentami”;Dla grupy Administratorzy należy usunąć uprawnienia „Zarządzanie dokumentami”;A;;;inf_02
;70;70. Na rysunku przedstawiającym budowę drukarki, w której nierównomiernie podawany jest toner na bęben, należy wymienić wałek magnetyczny, który jest oznaczony numerem;1;2;3;4;B;images/70.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/70.jpg;inf_02
;71;71. Który protokół działa w warstwie aplikacji modelu ISO/OSI umożliwiając wymianę informacji kontrolnych pomiędzy urządzeniami sieciowymi?;DNS;POP3;SNMP;SMTP;C;;;inf_02
;72;72. Na rysunku przedstawiono konfigurację urządzenia. Do których portów należy podłączyć serwer o adresie IP 192.168.20.254/24 oraz stację roboczą o adresie IP 192.168.20.10/24, aby zapewnić komunikację tych urządzeń w sieci?;Do portów 1 i 2;Do portów 2 i 3;Do portów 1 i 3;Do portów 3 i 4;C;images/72.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/72.jpg;inf_02
;73;73. Na rysunku przedstawiono konfigurację urządzenia, z której wynika, że;utworzono dwa nowe VLAN-y: ID13, ID48;do VLAN z ID48 przypisano wszystkie porty.;utworzono trzy nowe VLAN-y: ID1, ID13, ID48;VLAN z ID48 jest skonfigurowany jako zarządzalny.;A;images/73.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/73.jpg;inf_02
;74;74. Na rysunku przedstawiono okno konfiguracyjne rutera. Ustawione parametry świadczą o tym, że;na komputerze o adresie MAC 44-8A-5B-5A-56-D0 ustawiono adres IP 192.168.17.30 za pomocą Panelu Sterowania.;komputer o adresie MAC 44-8A-5B-5A-56-D0 i adresie IP 192.168.17.30 nie będzie mógł połączyć się z urządzeniami tej sieci.;komputer o adresie MAC 44-8A-5B-5A-56-D0 i adresie IP 192.168.17.30 został wykluczony z sieci.;komputerowi o adresie MAC 44-8A-5B-5A-56-D0 usługa DHCP rutera przydzieli adres IP 192.168.17.30;D;images/74.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/74.jpg;inf_02
;75;75. Który typ zabezpieczeń w sieci WiFi posiada najlepszy poziom zabezpieczeń?;WEP;WPA;WPA2;NTFS;C;;;inf_02
;76;76. Jeżeli przy uruchamianiu komputera procedura POST zasygnalizuje błąd odczytu/zapisu pamięci CMOS, to należy;przywrócić ustawienia fabryczne BIOS Setup.;zaprogramować pamięć EEPROM płyty głównej.;wymienić baterię układu lub wymienić płytę główną.;wymontować moduł pamięci RAM, oczyścić styki modułu pamięci i zamontować pamięć ponownie.;C;;;inf_02
;77;77. Które polecenie powinien zastosować root w systemie Ubuntu Linux, aby zaktualizować wszystkie pakiety (cały system) do nowej wersji wraz z nowym jądrem?;apt-get update;apt-get upgrade;apt-get dist-upgrade;apt-get install nazwa_pakietu;C;;;inf_02
;78;78. Które polecenie w systemie Linux nada uprawnienia do pisania dla wszystkich obiektów w /usr/share dla wszystkich użytkowników, nie zmieniając pozostałych uprawnień?;chmod a-w /usr/share;chmod ugo+rw /usr/share;chmod -R a+w /usr/share;chmod -R o+r /usr/share;C;;;inf_02
;79;79. Udostępniono w sieci lokalnej jako udział specjalny folder o nazwie egzamin znajdujący się na komputerze o nazwie SERWER_2 w katalogu głównym dysku C:\. Jak powinna wyglądać ścieżka dostępu do katalogu egzamin, w którym przechowywany jest folder macierzysty dla konta użytkownika o określonym loginie?;\\SERWER_2\$egzamin\%USERNAME%;\\SERWER_2\$egzamin$\%USERNAME%;\\SERWER_2\egzamin$\%$USERNAME%;\\SERWER_2\egzamin$\%USERNAME%;D;;;inf_02
;80;80. Aby profil stał się obowiązkowym, należy zmienić rozszerzenie pliku ntuser.dat na;ntuser.sys;ntuser.man;$ntuser.bat;$ntuser.exe;B;images/80.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/80.jpg;inf_02
;81;81. Przedstawiony na rysunku element elektroniczny to;cewka.;rezystor.;tranzystor.;kondensator.;C;images/81.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/81.jpg;inf_02
;82;82. W dokumentacji technicznej efektywność głośnika podłączonego do komputera zapisuje się w jednostce;J;W;dB;kHz;C;;;inf_02
;83;83. Na urządzeniu zasilanym prądem stałym znajduje się przedstawione oznaczenie. Wynika z niego, że urządzenie pobiera moc około;2,5 W;7,5 W;11,0 W;18,75 W;D;images/83.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/83.jpg;inf_02
;84;84. Gniazdo LGA znajdujące się na płycie głównej komputera stacjonarnego umożliwia zainstalowanie procesora;Intel Core i5;Athlon 64 X2;AMD Sempron;Intel Pentium II Xeon;A;;;inf_02
;85;85. Aby serwer umożliwiał transmisję danych w pasmach częstotliwości 2,4 GHz oraz 5 GHz, należy zainstalować w nim kartę sieciową pracującą w standardzie;802.11a;802.11b;802.11g;802.11n;D;;;inf_02
;86;86. Do instalacji oraz deinstalacji oprogramowania w systemie Ubuntu służy menadżer;ls;tar;apt;kast;C;;;inf_02
;87;87. Wydając w wierszu poleceń systemu Windows Server polecenie convert, można przeprowadzić;defragmentację dysku.;zmianę systemu plików.;naprawę systemu plików.;naprawę logicznej struktury dysku.;B;;;inf_02
;88;88. Aby zaktualizować zmiany w konfiguracji systemu operacyjnego Windows wykonane za pomocą edytora zasad grup, można posłużyć się poleceniem;restore;dompol;services;gpupdate;D;;;inf_02
;89;89. Przedstawiona na rysunku topologia sieci to;bus;star;ring;mesh;D;images/89.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/89.jpg;inf_02
;90;90. Łącze światłowodowe wykorzystywane do transmisji danych w standardzie 10GBASE-SR może mieć długość wynoszącą maksymalnie;2 km;4 km;200 m;400 m;D;;;inf_02
;91;91. Który protokół jest wykorzystywany do transmisji danych w warstwie transportowej modelu ISO/OSI?;ARP;TCP;HTTP;LDAP;B;;;inf_02
;92;92. Pomiar tłumienia w kablowym torze transmisyjnym pozwala określić;czas opóźnienia propagacji.;błędy instalacyjne typu zamiana pary.;różnice miedzy przesłuchami zdalnymi.;spadek mocy sygnału w danej parze przewodu.;D;;;inf_02
;93;93. Odpowiednikiem adresu pętli zwrotnej jest w IPv6 adres;0:0/32;::fff/64;::1/128;:1:1:1/96;C;;;inf_02
;94;94. Który zapis adresu IPv4 wraz z maską jest błędny?;16.1.1.1/5;100.0.0.0/8;18.4.0.0, maska 255.0.0.0;192.168.0.1, maska 255.250.255.0;D;;;inf_02
;95;95. Dana jest sieć o adresie 172.16.0.0/16. Które z adresów sieci 172.16.0.0/16 są prawidłowe, jeśli zostaną wydzielone cztery podsieci o masce 18 bitowej?;172.16.0.0, 172.16.64.0, 172.16.128.0, 172.16.192.0;172.16.0.0, 172.16.0.64, 172.16.0.128, 172.16.0.192;172.16.64.0, 172.16.0.128, 172.16.192.0, 172.16.0.255;172.16.64.0, 172.16.64.64, 172.16.64.128, 172.16.64.192;A;;;inf_02
;96;96. Administrator sieci LAN zauważył przejście w tryb awaryjny urządzenia typu UPS. Świadczy to o awarii systemu;zasilania.;okablowania.;urządzeń aktywnych.;chłodzenia i wentylacji.;A;;;inf_02
;97;97. Szerokopasmowy dostęp do Internetu przy różnej prędkości pobierania i wysyłania danych zapewnia technologia;MSK;ISDN;QAM;ADSL;D;;;inf_02
;98;98. Wewnętrzny protokół trasowania, którego metryką jest wektor odległości, to;RIP;EGP;IS-IS;OSPF;A;;;inf_02
;99;99. Jaką nazwę nosi indentyfikator, który musi być identyczny, by urządzenia sieciowe mogły pracować w danej sieci bezprzewodowej?;IP;URL;SSID;MAC;C;;;inf_02
;100;100. Materiałem eksploatacyjnym plotera solwentowego jest;głowica tnąca.;atrament żelowy.;zestaw metalowych rylców.;farba na bazie rozpuszczalników.;D;;;inf_02
;101;101. Za pomocą polecenia ipconfig /flushdns można wykonać konserwację urządzenia sieciowego polegającą na;odnowieniu dzierżawy adresu IP.;zwolnieniu dzierżawy adresu uzyskanego z DHCP.;aktualizacji ustawień nazw interfejsów sieciowych.;wyczyszczeniu bufora systemu nazw domenowych.;D;;;inf_02
;102;102. Który protokół jest wykorzystywany przez polecenie ping?;IPX;FTP;SMTP;ICMP;D;;;inf_02
;103;103. Programem nasłuchowym służącym do przechwytywania i nagrywania różnych pakietów sieciowych oraz ich dekodowania jest;finder.;tracker.;konqueror.;whireshark.;D;;;inf_02
;104;104. Przedstawiony listing zawiera polecenia umożliwiające;usunięcie portów 0 i 1 przełącznika z sieci vlan.;zmianę ustawienia prędkości dla portu 0/1 na fastethernet.;konfigurację wirtualnej sieci lokalnej o nazwie vlan 10 w przełączniku.;ustawienie nazwy fastEthernet dla pierwszych dziesięciu portów przełącznika.;C;images/104.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/104.jpg;inf_02
